GeneIdentifier	Chromosome	Start	Stop	Strand
AT1G54300	Chr1	20270810	20271049	+
AT1G54310	Chr1	20273567	20273708	+
AT1G54420	Chr1	20311619	20311638	+
AT1G54640	Chr1	20404807	20404359	-
AT1G54720	Chr1	20422831	20422927	+
AT1G54760	Chr1	20433912	20434397	+
AT1G54775	Chr1	20438014	20437784	-
AT1G54930	Chr1	20479671	20479444	-
AT1G54980	Chr1	20508355	20508322	-
AT1G55060	Chr1	20549533	20550225	+
AT1G55070	Chr1	20551452	20552633	+
AT1G55175	Chr1	20582965	20583065	+
AT1G55220	Chr1	20601436	20601157	-
AT1G55380	Chr1	20678607	20676504	-
AT1G55440	Chr1	20703460	20701363	-
AT1G55546	Chr1	20743828	20743902	+
AT1G55650	Chr1	20796340	20796506	+
AT1G55660	Chr1	20800694	20801743	+
AT1G55673	Chr1	20802971	20803449	+
AT1G55710	Chr1	20826142	20825924	-
AT1G55755	Chr1	20846115	20846166	+
AT1G55865	Chr1	20895393	20895294	-
AT1G55917	Chr1	20912277	20912236	-
AT1G55945	Chr1	20923651	20923775	+
AT1G55947	Chr1	20925619	20925041	-
AT1G55990	Chr1	20942951	20942660	-
AT1G56030	Chr1	20958550	20958278	-
AT1G56040	Chr1	20961870	20961583	-
AT1G56085	Chr1	20976515	20976522	+
AT1G56105	Chr1	20983737	20983882	+
AT1G56160	Chr1	21022384	21022522	+
AT1G56225	Chr1	21045708	21045631	-
AT1G56233	Chr1	21051017	21050939	-
AT1G56360	Chr1	21100842	21100687	-
AT1G56380	Chr1	21101327	21101364	+
AT1G56400	Chr1	21113621	21113485	-
AT1G56410	Chr1	21117147	21117360	+
AT1G56530	Chr1	21179237	21179304	+
AT1G56555	Chr1	21192217	21192165	-
AT1G57565	Chr1	21319635	21320213	+
AT1G57580	Chr1	21325079	21325552	+
AT1G57613	Chr1	21340183	21340224	+
AT1G57670	Chr1	21359872	21359661	-
AT1G57690	Chr1	21368150	21367971	-
AT1G57780	Chr1	21403000	21403085	+
AT1G57800	Chr1	21412283	21411774	-
AT1G57850	Chr1	21425481	21425574	+
AT1G57906	Chr1	21435427	21435512	+
AT1G58050	Chr1	21487839	21487546	-
AT1G58090	Chr1	21510510	21511625	+
AT1G58150	Chr1	21530103	21530129	+
AT1G58160	Chr1	21533724	21533781	+
AT1G58223	Chr1	21558383	21558625	+
AT1G58245	Chr1	21584524	21584252	-
AT1G58248	Chr1	21586311	21586036	-
AT1G58260	Chr1	21605752	21606696	+
AT1G58265	Chr1	21610909	21611388	+
AT1G58280	Chr1	21622611	21622550	-
AT1G58310	Chr1	21631947	21632936	+
AT1G58450	Chr1	21718014	21718118	+
AT1G58520	Chr1	21729913	21730156	+
AT1G58525	Chr1	21729913	21730156	+
AT1G58766	Chr1	21776765	21775514	-
AT1G58936	Chr1	21803600	21803809	+
AT1G59077	Chr1	21813023	21811772	-
AT1G59470	Chr1	21853384	21853032	-
AT1G59500	Chr1	21856614	21856292	-
AT1G59550	Chr1	21880788	21880406	-
AT1G59630	Chr1	21907955	21907724	-
AT1G59675	Chr1	21932403	21932024	-
AT1G59680	Chr1	21933012	21933446	+
AT1G59690	Chr1	21935820	21935686	-
AT1G59720	Chr1	21941784	21939752	-
AT1G59722	Chr1	21945221	21945110	-
AT1G59790	Chr1	22001504	22001652	+
AT1G59800	Chr1	22004964	22005097	+
AT1G59833	Chr1	22023337	22023435	+
AT1G59835	Chr1	22025421	22024945	-
AT1G59865	Chr1	22033297	22033000	-
AT1G59885	Chr1	22042308	22042598	+
AT1G59950	Chr1	22070588	22070278	-
AT1G60040	Chr1	22119929	22118974	-
AT1G60250	Chr1	22217832	22217077	-
AT1G60280	Chr1	22227928	22226885	-
AT1G60300	Chr1	22230748	22229780	-
AT1G60320	Chr1	22235091	22235606	+
AT1G60340	Chr1	22240399	22239524	-
AT1G60350	Chr1	22242235	22241273	-
AT1G60370	Chr1	22244963	22245814	+
AT1G60380	Chr1	22247411	22246455	-
AT1G60400	Chr1	22254405	22255310	+
AT1G60500	Chr1	22291582	22292014	+
AT1G60530	Chr1	22299797	22300220	+
AT1G60570	Chr1	22311836	22312981	+
AT1G60625	Chr1	22333916	22334161	+
AT1G60750	Chr1	22363854	22363630	-
AT1G60815	Chr1	22392729	22392974	+
AT1G60880	Chr1	22411575	22412180	+
AT1G60980	Chr1	22452573	22453123	+
AT1G60983	Chr1	22455320	22455589	+
AT1G61060	Chr1	22489711	22489175	-
AT1G61105	Chr1	22514492	22514008	-
AT1G61230	Chr1	22578951	22579380	+
AT1G61280	Chr1	22603586	22603865	+
AT1G61320	Chr1	22617370	22618278	+
AT1G61330	Chr1	22622975	22623850	+
AT1G61415	Chr1	22659661	22659720	+
AT1G61460	Chr1	22677188	22676545	-
AT1G61475	Chr1	22680771	22680705	-
AT1G61540	Chr1	22702498	22703706	+
AT1G61565	Chr1	22715075	22715084	+
AT1G61600	Chr1	22729816	22730138	+
AT1G61630	Chr1	22744207	22744242	+
AT1G61710	Chr1	22790576	22790116	-
AT1G62160	Chr1	22972352	22972524	+
AT1G62270	Chr1	23004499	23005650	+
AT1G62410	Chr1	23092915	23093298	+
AT1G62421	Chr1	23099484	23099889	+
AT1G62440	Chr1	23112933	23115293	+
AT1G62490	Chr1	23131533	23131089	-
AT1G62515	Chr1	23136720	23137112	+
AT1G62670	Chr1	23206665	23204773	-
AT1G62886	Chr1	23294413	23294447	+
AT1G62895	Chr1	23295989	23296018	+
AT1G62920	Chr1	23304313	23304444	+
AT1G62930	Chr1	23306534	23308686	+
AT1G62935	Chr1	23309410	23308760	-
AT1G62978	Chr1	23331608	23331462	-
AT1G63070	Chr1	23387167	23386122	-
AT1G63105	Chr1	23404141	23404537	+
AT1G63200	Chr1	23434600	23434582	-
AT1G63205	Chr1	23438677	23438659	-
AT1G63210	Chr1	23443688	23446963	+
AT1G63280	Chr1	23471343	23471705	+
AT1G63340	Chr1	23494019	23493467	-
AT1G63390	Chr1	23506967	23506461	-
AT1G63535	Chr1	23566227	23566045	-
AT1G63590	Chr1	23579896	23580702	+
AT1G63730	Chr1	23641770	23642239	+
AT1G64020	Chr1	23752121	23751655	-
AT1G64030	Chr1	23754348	23753956	-
AT1G64100	Chr1	23791585	23792203	+
AT1G64195	Chr1	23828048	23827990	-
AT1G64253	Chr1	23842219	23843206	+
AT1G64255	Chr1	23844954	23847206	+
AT1G64295	Chr1	23860624	23859554	-
AT1G64310	Chr1	23866053	23867711	+
AT1G64455	Chr1	23941764	23941834	+
AT1G64584	Chr1	23989052	23989425	+
AT1G64585	Chr1	23990097	23989933	-
AT1G64633	Chr1	24019586	24019584	-
AT1G64710	Chr1	24044686	24044719	+
AT1G64795	Chr1	24082579	24082746	+
AT1G64820	Chr1	24088605	24089401	+
AT1G64870	Chr1	24102917	24103831	+
AT1G64940	Chr1	24123789	24125514	+
AT1G65170	Chr1	24209613	24209624	+
AT1G65210	Chr1	24224812	24224819	+
AT1G65300	Chr1	24254929	24255857	+
AT1G65340	Chr1	24269646	24268135	-
AT1G65342	Chr1	24271276	24271536	+
AT1G65346	Chr1	24274038	24273910	-
AT1G65349	Chr1	24277072	24277240	+
AT1G65350	Chr1	24277275	24276419	-
AT1G65352	Chr1	24277772	24277829	+
AT1G65360	Chr1	24281337	24281648	+
AT1G65425	Chr1	24299857	24300074	+
AT1G65550	Chr1	24370800	24370680	-
AT1G65630	Chr1	24409068	24408696	-
AT1G65640	Chr1	24413527	24413221	-
AT1G65680	Chr1	24427266	24427458	+
AT1G65681	Chr1	24428875	24428901	+
AT1G65735	Chr1	24446889	24446701	-
AT1G65740	Chr1	24453211	24452096	-
AT1G65760	Chr1	24458591	24459226	+
AT1G65770	Chr1	24461738	24460656	-
AT1G65780	Chr1	24466888	24466793	-
AT1G65990	Chr1	24573471	24573317	-
AT1G66000	Chr1	24574344	24575438	+
AT1G66045	Chr1	24588269	24588536	+
AT1G66145	Chr1	24628835	24628530	-
AT1G66220	Chr1	24670536	24670643	+
AT1G66245	Chr1	24690444	24691307	+
AT1G66290	Chr1	24714843	24713887	-
AT1G66300	Chr1	24718050	24717594	-
AT1G66310	Chr1	24724475	24723549	-
AT1G66345	Chr1	24737719	24739353	+
AT1G66420	Chr1	24777184	24778032	+
AT1G66490	Chr1	24810549	24810105	-
AT1G66610	Chr1	24851450	24851244	-
AT1G66630	Chr1	24856714	24856529	-
AT1G66640	Chr1	24857438	24857527	+
AT1G66650	Chr1	24861821	24861525	-
AT1G66770	Chr1	24907236	24906451	-
AT1G66852	Chr1	24938832	24938500	-
AT1G66870	Chr1	24946717	24946700	-
AT1G66880	Chr1	24946928	24947002	+
AT1G67020	Chr1	25012987	25010710	-
AT1G67130	Chr1	25100625	25100250	-
AT1G67160	Chr1	25127098	25125927	-
AT1G67220	Chr1	25145587	25147767	+
AT1G67235	Chr1	25163104	25162507	-
AT1G67310	Chr1	25203126	25203024	-
AT1G67390	Chr1	25244690	25245019	+
AT1G67450	Chr1	25266163	25267359	+
AT1G67775	Chr1	25411696	25411312	-
AT1G67790	Chr1	25420099	25419950	-
AT1G68120	Chr1	25527105	25526296	-
AT1G68210	Chr1	25565983	25566097	+
AT1G68270	Chr1	25590254	25590057	-
AT1G68325	Chr1	25609405	25609386	-
AT1G68420	Chr1	25653893	25654156	+
AT1G68725	Chr1	25809298	25809948	+
AT1G68845	Chr1	25882434	25882696	+
AT1G68905	Chr1	25907092	25907035	-
AT1G68907	Chr1	25907891	25907834	-
AT1G68937	Chr1	25925469	25925493	+
AT1G69090	Chr1	25978706	25977450	-
AT1G69200	Chr1	26016024	26016064	+
AT1G69210	Chr1	26020058	26019797	-
AT1G69290	Chr1	26049348	26047372	-
AT1G69470	Chr1	26113575	26113997	+
AT1G69630	Chr1	26193174	26192233	-
AT1G69650	Chr1	26198821	26198650	-
AT1G69660	Chr1	26200603	26200516	-
AT1G69825	Chr1	26286496	26286556	+
AT1G69828	Chr1	26287522	26287582	+
AT1G69860	Chr1	26309628	26309715	+
AT1G69990	Chr1	26362010	26360235	-
AT1G70020	Chr1	26377370	26377767	+
AT1G70040	Chr1	26381233	26381537	+
AT1G70120	Chr1	26408921	26409234	+
AT1G70175	Chr1	26425340	26425302	-
AT1G70209	Chr1	26439796	26439653	-
AT1G70335	Chr1	26503258	26502917	-
AT1G70380	Chr1	26527345	26526212	-
AT1G70390	Chr1	26530282	26529907	-
AT1G70450	Chr1	26552576	26552981	+
AT1G70475	Chr1	26559661	26560003	+
AT1G70730	Chr1	26673166	26673092	-
AT1G70860	Chr1	26718992	26718948	-
AT1G70870	Chr1	26721563	26721465	-
AT1G70910	Chr1	26734155	26734771	+
AT1G70944	Chr1	26749253	26749137	-
AT1G70949	Chr1	26752664	26752401	-
AT1G70960	Chr1	26756253	26757362	+
AT1G70970	Chr1	26759834	26761042	+
AT1G71060	Chr1	26807183	26805651	-
AT1G71180	Chr1	26832335	26833709	+
AT1G71220	Chr1	26841550	26841815	+
AT1G71235	Chr1	26854559	26854805	+
AT1G71280	Chr1	26872152	26871880	-
AT1G71290	Chr1	26872643	26873242	+
AT1G71300	Chr1	26874064	26874149	+
AT1G71320	Chr1	26882485	26882794	+
AT1G71330	Chr1	26885169	26884939	-
AT1G71740	Chr1	26987245	26987637	+
AT1G72000	Chr1	27103277	27103492	+
AT1G72141	Chr1	27145322	27145146	-
AT1G72350	Chr1	27239947	27239273	-
AT1G72540	Chr1	27316669	27316271	-
AT1G72570	Chr1	27331381	27331468	+
AT1G73050	Chr1	27478534	27478432	-
AT1G73066	Chr1	27481785	27484078	+
AT1G73270	Chr1	27552517	27552369	-
AT1G73280	Chr1	27555322	27555174	-
AT1G73310	Chr1	27565177	27565029	-
AT1G73570	Chr1	27650992	27651516	+
AT1G73710	Chr1	27721190	27724954	+
AT1G73885	Chr1	27786864	27786987	+
AT1G73890	Chr1	27788658	27788322	-
AT1G74035	Chr1	27839443	27839571	+
AT1G74045	Chr1	27846012	27846458	+
AT1G74110	Chr1	27868368	27867367	-
AT1G74290	Chr1	27931836	27932156	+
AT1G74385	Chr1	27960970	27960725	-
AT1G74480	Chr1	27994178	27994108	-
AT1G74620	Chr1	28028252	28029001	+
AT1G74875	Chr1	28129745	28129661	-
AT1G74900	Chr1	28133933	28135214	+
AT1G74929	Chr1	28144098	28143997	-
AT1G75470	Chr1	28330054	28330093	+
AT1G75530	Chr1	28359309	28359362	+
AT1G76170	Chr1	28586225	28586188	-
AT1G76290	Chr1	28625408	28625211	-
AT1G76465	Chr1	28688781	28688886	+
AT1G76728	Chr1	28802633	28802734	+
AT1G76830	Chr1	28844644	28845905	+
AT1G76840	Chr1	28847288	28847021	-
AT1G76910	Chr1	28887218	28887267	+
AT1G76954	Chr1	28918537	28918477	-
AT1G77010	Chr1	28942710	28944827	+
AT1G77100	Chr1	28967015	28966809	-
AT1G77150	Chr1	28993170	28993029	-
AT1G77440	Chr1	29096020	29096025	+
AT1G77570	Chr1	29143350	29144011	+
AT1G77650	Chr1	29181110	29182261	+
AT1G77700	Chr1	29204747	29204822	+
AT1G77780	Chr1	29249528	29248300	-
AT1G77790	Chr1	29251976	29251907	-
AT1G77815	Chr1	29263650	29263348	-
AT1G77830	Chr1	29267752	29267451	-
AT1G77910	Chr1	29296138	29296407	+
AT1G78030	Chr1	29342157	29342209	+
AT1G78190	Chr1	29418994	29418620	-
AT1G78220	Chr1	29427181	29427115	-
AT1G78400	Chr1	29499682	29499527	-
AT1G78470	Chr1	29521770	29522324	+
AT1G78480	Chr1	29526363	29526032	-
AT1G78640	Chr1	29581988	29581170	-
AT1G78730	Chr1	29609441	29609037	-
AT1G78760	Chr1	29616738	29615815	-
AT1G78922	Chr1	29677815	29677718	-
AT1G78955	Chr1	29694255	29694052	-
AT1G79100	Chr1	29753648	29753672	+
AT1G79170	Chr1	29782273	29782286	+
AT1G79370	Chr1	29857934	29858298	+
AT1G79400	Chr1	29864992	29865150	+
AT1G79485	Chr1	29898481	29898828	+
AT1G79670	Chr1	29979337	29978905	-
AT1G80090	Chr1	30130218	30130331	+
AT1G80140	Chr1	30146611	30146703	+
AT1G80165	Chr1	30152501	30152286	-
AT1G80220	Chr1	30167839	30168606	+
AT1G80315	Chr1	30195732	30194698	-
AT1G80320	Chr1	30196782	30197158	+
AT1G80330	Chr1	30199537	30199068	-
AT1G80525	Chr1	30277490	30277905	+
AT1G80580	Chr1	30293558	30294328	+
AT1G80740	Chr1	30342394	30342557	+
AT1G80990	Chr1	30424421	30424675	+
AT2G01008	Chr2	1025	1272	+
AT2G01021	Chr2	6571	6672	+
AT2G01023	Chr2	9767	9648	-
AT2G01035	Chr2	51487	51363	-
AT2G01045	Chr2	54468	54344	-
AT2G01050	Chr2	69884	68337	-
AT2G01240	Chr2	129132	129083	-
AT2G01280	Chr2	145676	145737	+
AT2G01360	Chr2	167931	168479	+
AT2G01379	Chr2	171098	171472	+
AT2G01430	Chr2	190369	190072	-
AT2G01554	Chr2	249687	249774	+
AT2G01560	Chr2	251806	251744	-
AT2G01667	Chr2	295455	295556	+
AT2G01780	Chr2	339871	339719	-
AT2G01790	Chr2	342480	342374	-
AT2G01800	Chr2	345254	345152	-
AT2G01810	Chr2	347537	347849	+
AT2G01920	Chr2	426052	427091	+
AT2G02026	Chr2	481907	482086	+
AT2G02030	Chr2	482335	482405	+
AT2G02103	Chr2	531636	530241	-
AT2G02280	Chr2	601439	601242	-
AT2G02290	Chr2	604453	605361	+
AT2G02440	Chr2	638012	638151	+
AT2G02493	Chr2	668055	667567	-
AT2G02520	Chr2	678145	678064	-
AT2G02525	Chr2	677881	678073	+
AT2G02550	Chr2	687384	687818	+
AT2G02635	Chr2	731178	731095	-
AT2G02650	Chr2	735411	735426	+
AT2G02660	Chr2	738504	739834	+
AT2G02695	Chr2	754145	754107	-
AT2G02770	Chr2	779786	779687	-
AT2G02835	Chr2	821291	821242	-
AT2G02890	Chr2	846616	846544	-
AT2G03000	Chr2	875233	876472	+
AT2G03010	Chr2	879247	879319	+
AT2G03030	Chr2	889764	889969	+
AT2G03160	Chr2	959645	960247	+
AT2G03180	Chr2	962764	963126	+
AT2G03230	Chr2	972917	973375	+
AT2G03260	Chr2	992332	992059	-
AT2G03300	Chr2	1004222	1004017	-
AT2G03330	Chr2	1008460	1008827	+
AT2G03560	Chr2	1079639	1080826	+
AT2G03565	Chr2	1081592	1081671	+
AT2G03570	Chr2	1085988	1085939	-
AT2G03580	Chr2	1093264	1093315	+
AT2G03610	Chr2	1099070	1099246	+
AT2G03630	Chr2	1103205	1103795	+
AT2G03822	Chr2	1168200	1168373	+
AT2G03823	Chr2	1167354	1167396	+
AT2G03930	Chr2	1206249	1206121	-
AT2G03931	Chr2	1214428	1214515	+
AT2G03932	Chr2	1213233	1213274	+
AT2G03936	Chr2	1221111	1221202	+
AT2G04020	Chr2	1274427	1274709	+
AT2G04038	Chr2	1331919	1332419	+
AT2G04041	Chr2	1308544	1307981	-
AT2G04046	Chr2	1315860	1315908	+
AT2G04060	Chr2	1345164	1345096	-
AT2G04062	Chr2	1346266	1346159	-
AT2G04063	Chr2	1350177	1350126	-
AT2G04066	Chr2	1353517	1353422	-
AT2G04137	Chr2	1332608	1332525	-
AT2G04300	Chr2	1493009	1493099	+
AT2G04380	Chr2	1525642	1525742	+
AT2G04425	Chr2	1537504	1537426	-
AT2G04480	Chr2	1555514	1555404	-
AT2G04621	Chr2	1610662	1610699	+
AT2G04622	Chr2	1614019	1613965	-
AT2G04750	Chr2	1662748	1662662	-
AT2G04810	Chr2	1688773	1689966	+
AT2G04840	Chr2	1697009	1697259	+
AT2G04870	Chr2	1716386	1716168	-
AT2G04910	Chr2	1724354	1724078	-
AT2G04920	Chr2	1726138	1727268	+
AT2G04930	Chr2	1734471	1733638	-
AT2G05050	Chr2	1794035	1794085	+
AT2G05060	Chr2	1798155	1799102	+
AT2G05105	Chr2	1836841	1837030	+
AT2G05117	Chr2	1839014	1838945	-
AT2G05140	Chr2	1853935	1854009	+
AT2G05180	Chr2	1875390	1876307	+
AT2G05294	Chr2	1928622	1928530	-
AT2G05330	Chr2	1939470	1939366	-
AT2G05360	Chr2	1959303	1958846	-
AT2G05420	Chr2	1983901	1984010	+
AT2G05600	Chr2	2072646	2072829	+
AT2G05635	Chr2	2089484	2089521	+
AT2G05645	Chr2	2102111	2101497	-
AT2G05720	Chr2	2147192	2147627	+
AT2G05752	Chr2	2170528	2170445	-
AT2G05753	Chr2	2171936	2171846	-
AT2G05786	Chr2	2198405	2198271	-
AT2G05900	Chr2	2256970	2257908	+
AT2G05915	Chr2	2263816	2263873	+
AT2G05970	Chr2	2309784	2308651	-
AT2G06020	Chr2	2342535	2342865	+
AT2G06105	Chr2	2395013	2395424	+
AT2G06166	Chr2	2411005	2411059	+
AT2G06265	Chr2	2530255	2530133	-
AT2G06425	Chr2	2572743	2572639	-
AT2G06500	Chr2	2583223	2583180	-
AT2G06541	Chr2	2600326	2599267	-
AT2G06565	Chr2	2621756	2621930	+
AT2G06570	Chr2	2624902	2624338	-
AT2G06667	Chr2	2660715	2660527	-
AT2G06675	Chr2	2705476	2705042	-
AT2G06904	Chr2	2806625	2806724	+
AT2G06906	Chr2	2807967	2807740	-
AT2G06908	Chr2	2815398	2815565	+
AT2G06960	Chr2	2870352	2870079	-
AT2G07020	Chr2	2911198	2911030	-
AT2G07110	Chr2	2953208	2952977	-
AT2G07120	Chr2	2954722	2954648	-
AT2G07190	Chr2	2987367	2987891	+
AT2G07200	Chr2	2989205	2989320	+
AT2G07215	Chr2	2997889	2997704	-
AT2G07280	Chr2	3026398	3026452	+
AT2G07290	Chr2	3029561	3029754	+
AT2G07310	Chr2	3036387	3036242	-
AT2G07440	Chr2	3094750	3094727	-
AT2G07505	Chr2	3125671	3125793	+
AT2G07613	Chr2	3261009	3261061	+
AT2G07623	Chr2	3276728	3276754	+
AT2G07625	Chr2	3284616	3284608	-
AT2G07626	Chr2	3296472	3296504	+
AT2G07627	Chr2	3298716	3298498	-
AT2G07628	Chr2	3301041	3301146	+
AT2G07629	Chr2	3313502	3313450	-
AT2G07631	Chr2	3318248	3318290	+
AT2G07634	Chr2	3339047	3338997	-
AT2G07636	Chr2	3340397	3340405	+
AT2G07637	Chr2	3343332	3343496	+
AT2G07638	Chr2	3377163	3377210	+
AT2G07640	Chr2	3220739	3220879	+
AT2G07641	Chr2	3390726	3390592	-
AT2G07642	Chr2	3400797	3400838	+
AT2G07646	Chr2	3408519	3408677	+
AT2G07654	Chr2	3456747	3456831	+
AT2G07655	Chr2	3245323	3245484	+
AT2G07656	Chr2	3458281	3458359	+
AT2G07659	Chr2	3481036	3481275	+
AT2G07674	Chr2	3268932	3269906	+
AT2G07675	Chr2	3270410	3270787	+
AT2G07676	Chr2	3272619	3272975	+
AT2G07678	Chr2	3281097	3283129	+
AT2G07684	Chr2	3262345	3262235	-
AT2G07687	Chr2	3312651	3311654	-
AT2G07689	Chr2	3336109	3336753	+
AT2G07691	Chr2	3340317	3339740	-
AT2G07701	Chr2	3371832	3372152	+
AT2G07705	Chr2	3380744	3380944	+
AT2G07707	Chr2	3386292	3386768	+
AT2G07713	Chr2	3407218	3407586	+
AT2G07714	Chr2	3408506	3408466	-
AT2G07722	Chr2	3438742	3439161	+
AT2G07728	Chr2	3453686	3453808	+
AT2G07734	Chr2	3473692	3472305	-
AT2G07741	Chr2	3502319	3503476	+
AT2G07749	Chr2	3247234	3249357	+
AT2G07751	Chr2	3270008	3270364	+
AT2G07760	Chr2	3586278	3585652	-
AT2G07768	Chr2	3273584	3273642	+
AT2G07771	Chr2	3240463	3239693	-
AT2G07772	Chr2	3301804	3301588	-
AT2G07777	Chr2	3251545	3249396	-
AT2G07810	Chr2	3593730	3593874	+
AT2G07820	Chr2	3457479	3457213	-
AT2G07827	Chr2	3474996	3474999	+
AT2G07830	Chr2	3476278	3476156	-
AT2G07835	Chr2	3502294	3502223	-
AT2G07981	Chr2	3614986	3615034	+
AT2G08986	Chr2	3618058	3618102	+
AT2G09388	Chr2	3651156	3651299	+
AT2G09838	Chr2	3703492	3703304	-
AT2G09840	Chr2	3705594	3705043	-
AT2G10020	Chr2	3797230	3797430	+
AT2G10260	Chr2	3938527	3938946	+
AT2G10440	Chr2	4018046	4017925	-
AT2G10450	Chr2	4020305	4020364	+
AT2G10455	Chr2	4069506	4069474	-
AT2G10535	Chr2	4082851	4082900	+
AT2G10545	Chr2	4089648	4089665	+
AT2G10550	Chr2	4096920	4096628	-
AT2G10556	Chr2	4105464	4105622	+
AT2G10557	Chr2	4106356	4106183	-
AT2G10560	Chr2	4110698	4109862	-
AT2G10602	Chr2	4134895	4134960	+
AT2G10615	Chr2	4228157	4228615	+
AT2G10625	Chr2	4300871	4300770	-
AT2G10955	Chr2	4324032	4323589	-
AT2G10965	Chr2	4323671	4323865	+
AT2G11005	Chr2	4348511	4348530	+
AT2G11010	Chr2	4361869	4361980	+
AT2G11015	Chr2	4366200	4366640	+
AT2G11025	Chr2	4394045	4393905	-
AT2G11035	Chr2	4416920	4417174	+
AT2G11045	Chr2	4440614	4440653	+
AT2G11200	Chr2	4451924	4452388	+
AT2G11205	Chr2	4458399	4458154	-
AT2G11215	Chr2	4477776	4477868	+
AT2G11225	Chr2	4478424	4478511	+
AT2G11270	Chr2	4484720	4484767	+
AT2G11271	Chr2	4485539	4485414	-
AT2G11405	Chr2	4543175	4543522	+
AT2G11462	Chr2	4590378	4590177	-
AT2G11570	Chr2	4635203	4634889	-
AT2G11620	Chr2	4658445	4658520	+
AT2G11623	Chr2	4661415	4661281	-
AT2G11626	Chr2	4661458	4661574	+
AT2G11773	Chr2	4724143	4724036	-
AT2G11778	Chr2	4728072	4728239	+
AT2G11815	Chr2	4758920	4758888	-
AT2G11891	Chr2	4804391	4804558	+
AT2G12205	Chr2	4901120	4901203	+
AT2G12290	Chr2	4924501	4924100	-
AT2G12405	Chr2	5011590	5011342	-
AT2G12461	Chr2	5050087	5049953	-
AT2G12875	Chr2	5291470	5291273	-
AT2G12880	Chr2	5291523	5291882	+
AT2G12900	Chr2	5293897	5294107	+
AT2G12905	Chr2	5296364	5296582	+
AT2G12935	Chr2	5316041	5315968	-
AT2G12945	Chr2	5323624	5323408	-
AT2G13105	Chr2	5412125	5411566	-
AT2G13125	Chr2	5415891	5416020	+
AT2G13126	Chr2	5416872	5416690	-
AT2G13150	Chr2	5437056	5437519	+
AT2G13275	Chr2	5508837	5508679	-
AT2G13422	Chr2	5588218	5588322	+
AT2G13430	Chr2	5590052	5590074	+
AT2G13450	Chr2	5599923	5598421	-
AT2G13500	Chr2	5627936	5628723	+
AT2G13510	Chr2	5631107	5630572	-
AT2G13542	Chr2	5643615	5643555	-
AT2G13555	Chr2	5649224	5649281	+
AT2G13630	Chr2	5685431	5684538	-
AT2G13640	Chr2	5687290	5686136	-
AT2G13845	Chr2	5798558	5798834	+
AT2G13895	Chr2	5829485	5829789	+
AT2G13905	Chr2	5834994	5834860	-
AT2G13950	Chr2	5857536	5859020	+
AT2G13965	Chr2	5864614	5864267	-
AT2G13980	Chr2	5870368	5869853	-
AT2G13985	Chr2	5875793	5875470	-
AT2G14000	Chr2	5885985	5885455	-
AT2G14070	Chr2	5921881	5922068	+
AT2G14100	Chr2	5936371	5935451	-
AT2G14160	Chr2	5976801	5976688	-
AT2G14170	Chr2	5981899	5981662	-
AT2G14265	Chr2	6045141	6045082	-
AT2G14270	Chr2	6045579	6045747	+
AT2G14288	Chr2	6056778	6056038	-
AT2G14289	Chr2	6057020	6056913	-
AT2G14390	Chr2	6110912	6111050	+
AT2G14395	Chr2	6119467	6119531	+
AT2G14440	Chr2	6143073	6143154	+
AT2G14500	Chr2	6166936	6167979	+
AT2G14670	Chr2	6276317	6275073	-
AT2G14700	Chr2	6292466	6292608	+
AT2G14755	Chr2	6317587	6317401	-
AT2G14765	Chr2	6351289	6351560	+
AT2G14800	Chr2	6355993	6356939	+
AT2G14810	Chr2	6358470	6358336	-
AT2G14870	Chr2	6391172	6391477	+
AT2G14920	Chr2	6418199	6418733	+
AT2G14935	Chr2	6431471	6431528	+
AT2G14945	Chr2	6439144	6438966	-
AT2G15025	Chr2	6501704	6501126	-
AT2G15029	Chr2	6504171	6504070	-
AT2G15110	Chr2	6557168	6556982	-
AT2G15180	Chr2	6590167	6588743	-
AT2G15185	Chr2	6591544	6591473	-
AT2G15260	Chr2	6630528	6630561	+
AT2G15327	Chr2	6672731	6672667	-
AT2G15420	Chr2	6728183	6728157	-
AT2G15450	Chr2	6747536	6747679	+
AT2G15460	Chr2	6750934	6751077	+
AT2G15470	Chr2	6754330	6754473	+
AT2G15500	Chr2	6763707	6763790	+
AT2G15610	Chr2	6806033	6806393	+
AT2G15670	Chr2	6828133	6828456	+
AT2G15710	Chr2	6842648	6842776	+
AT2G15740	Chr2	6857735	6856746	-
AT2G15770	Chr2	6872245	6871717	-
AT2G15880	Chr2	6920319	6920268	-
AT2G15980	Chr2	6952845	6951349	-
AT2G16015	Chr2	6970352	6970510	+
AT2G16019	Chr2	6973172	6973282	+
AT2G16020	Chr2	6973356	6973586	+
AT2G16040	Chr2	6976017	6976323	+
AT2G16120	Chr2	6998441	6998315	-
AT2G16220	Chr2	7031378	7030155	-
AT2G16225	Chr2	7034317	7034254	-
AT2G16290	Chr2	7060573	7060124	-
AT2G16300	Chr2	7063367	7062930	-
AT2G16340	Chr2	7073134	7073178	+
AT2G16360	Chr2	7077310	7077233	-
AT2G16450	Chr2	7132803	7131391	-
AT2G16575	Chr2	7184652	7184751	+
AT2G16594	Chr2	7197774	7198082	+
AT2G16620	Chr2	7205918	7205834	-
AT2G16910	Chr2	7331721	7331821	+
AT2G16953	Chr2	7361336	7361410	+
AT2G16960	Chr2	7364683	7364724	+
