GeneIdentifier	Start	Strand
AT1G29540	10327346	+
AT1G29550	10330425	+
AT1G29560	10332371	+
AT1G29570	10335910	+
AT1G29580	10338443	+
AT1G29590	10339992	+
AT1G29600	10343785	+
AT1G29620	10347363	+
AT1G29630	10349427	+
AT1G29640	10356482	-
AT1G29650	10357606	+
AT1G29660	10371675	+
AT1G29670	10375599	+
AT1G29680	10378961	-
AT1G29690	10382153	-
AT1G29700	10387441	-
AT1G29710	10387514	+
AT1G29720	10399873	-
AT1G29730	10405913	-
AT1G29740	10413119	-
AT1G29750	10420774	-
AT1G29760	10422292	+
AT1G29770	10424463	+
AT1G29775	10426947	-
AT1G29780	10426950	+
AT1G29785	10428749	-
AT1G29790	10429718	+
AT1G29800	10432599	+
AT1G29810	10437558	-
AT1G29820	10437657	+
AT1G29830	10441053	+
AT1G29840	10447753	-
AT1G29850	10447347	+
AT1G29860	10454433	+
AT1G29870	10458782	-
AT1G29880	10462967	-
AT1G29890	10463029	+
AT1G29900	10467956	+
AT1G29910	10473502	-
AT1G29920	10475969	-
AT1G29930	10477885	+
AT1G29940	10486824	-
AT1G29950	10491698	+
AT1G29960	10494627	+
AT1G29962	10496730	+
AT1G29965	10499462	-
AT1G29970	10501498	-
AT1G29980	10506189	-
AT1G29990	10507533	+
AT1G30000	10512558	-
AT1G30010	10513194	+
AT1G30020	10516347	-
AT1G30030	10531831	+
AT1G30040	10537457	+
AT1G30050	10543022	+
AT1G30060	10545906	-
AT1G30070	10548236	-
AT1G30080	10553295	-
AT1G30090	10561545	-
AT1G30100	10571310	+
AT1G30110	10581735	+
AT1G30120	10586680	-
AT1G30130	10587471	+
AT1G30135	10596352	+
AT1G30140	10598542	+
AT1G30150	10602178	+
AT1G30160	10606159	+
AT1G30170	10609618	-
AT1G30180	10610685	+
AT1G30190	10618893	+
AT1G30200	10625000	+
AT1G30210	10630630	-
AT1G30220	10635581	-
AT1G30230	10638878	+
AT1G30240	10646195	-
AT1G30250	10647650	-
AT1G30260	10650914	+
AT1G30270	10654800	+
AT1G30280	10664668	-
AT1G30282	10663332	+
AT1G30290	10672740	-
AT1G30300	10672973	+
AT1G30310	10675935	-
AT1G30320	10680079	+
AT1G30330	10690838	-
AT1G30340	10696999	+
AT1G30350	10711667	-
AT1G30360	10715482	+
AT1G30370	10720843	-
AT1G30380	10722183	+
AT1G30390	10723454	+
AT1G30400	10727317	+
AT1G30410	10738683	+
AT1G30420	10748261	+
AT1G30430	10756722	+
AT1G30440	10758743	+
AT1G30450	10762708	+
AT1G30455	10769722	+
AT1G30460	10775428	-
AT1G30470	10779111	+
AT1G30473	10786979	+
AT1G30475	10790241	-
AT1G30480	10790022	+
AT1G30490	10801093	-
AT1G30500	10806428	-
AT1G30510	10809162	-
AT1G30515	10809939	-
AT1G30520	10810397	+
AT1G30530	10814612	+
AT1G30540	10819419	-
AT1G30545	10822055	-
AT1G30550	10823903	-
AT1G30560	10824637	+
AT1G30570	10828373	+
AT1G30580	10835635	-
AT1G30590	10840872	-
AT1G30600	10845242	-
AT1G30610	10846513	+
AT1G30620	10854517	+
AT1G30630	10860322	-
AT1G30640	10860619	+
AT1G30650	10868218	+
AT1G30660	10876724	+
AT1G30670	10880188	-
AT1G30680	10881479	+
AT1G30690	10887607	+
AT1G30700	10892445	+
AT1G30710	10895252	+
AT1G30720	10897925	+
AT1G30730	10900681	+
AT1G30740	10902995	+
AT1G30750	10905724	-
AT1G30755	10909760	-
AT1G30757	10908980	+
AT1G30760	10918267	+
AT1G30780	10926561	-
AT1G30790	10932713	+
AT1G30795	10935684	+
AT1G30800	10936923	+
AT1G30810	10942292	-
AT1G30814	10944727	-
AT1G30820	10949482	-
AT1G30825	10960908	+
AT1G30830	10963646	-
AT1G30835	10966907	+
AT1G30840	10974383	+
AT1G30845	10979646	+
AT1G30850	10985063	+
AT1G30860	10989593	-
AT1G30870	10991478	+
AT1G30880	10994152	-
AT1G30890	10994243	+
AT1G30900	10996870	+
AT1G30910	11000862	+
AT1G30920	11005444	-
AT1G30925	11012280	-
AT1G30930	11015913	-
AT1G30950	11035992	+
AT1G30960	11040084	-
AT1G30970	11043773	-
AT1G30972	11044628	+
AT1G30974	11046969	+
AT1G30975	11048552	-
AT1G30980	11050729	-
AT1G30990	11051999	+
AT1G31000	11054567	-
AT1G31010	11056959	-
AT1G31020	11057105	+
AT1G31030	11067201	-
AT1G31040	11072564	-
AT1G31050	11079289	-
AT1G31070	11084666	+
AT1G31080	11091832	+
AT1G31090	11094407	+
AT1G31095	11102778	+
AT1G31100	11100418	-
AT1G31110	11104113	+
AT1G31120	11108095	-
AT1G31130	11116195	-
AT1G31140	11117941	+
AT1G31150	11119827	+
AT1G31160	11124220	-
AT1G31163	11130239	-
AT1G31166	11130616	+
AT1G31170	11133410	+
AT1G31175	11140471	+
AT1G31180	11144717	-
AT1G31190	11144772	+
AT1G31200	11147547	-
AT1G31210	11152501	-
AT1G31220	11156698	+
AT1G31230	11163274	-
AT1G31240	11164928	-
AT1G31243	11164639	+
AT1G31250	11167547	-
AT1G31255	11170396	-
AT1G31258	11171225	+
AT1G31260	11177362	-
AT1G31270	11178349	+
AT1G31280	11181504	+
AT1G31290	11188120	+
AT1G31300	11193625	+
AT1G31310	11200141	-
AT1G31320	11212958	+
AT1G31330	11216141	-
AT1G31335	11217546	-
AT1G31340	11219618	-
AT1G31350	11222789	-
AT1G31360	11232318	+
AT1G31370	11239363	-
AT1G31380	11241099	-
AT1G31390	11244392	-
AT1G31400	11246561	-
AT1G31410	11249587	-
AT1G31420	11249600	+
AT1G31430	11255737	-
AT1G31440	11258814	-
AT1G31450	11261234	-
AT1G31460	11263364	-
AT1G31470	11264963	-
AT1G31480	11265816	+
AT1G31485	11271744	+
AT1G31490	11273294	-
AT1G31500	11276636	-
AT1G31510	11277417	+
AT1G31520	11279639	-
AT1G31530	11282468	-
AT1G31540	11293799	-
AT1G31550	11297379	-
AT1G31555	11298409	-
AT1G31570	11309164	-
AT1G31580	11310997	+
AT1G31600	11316582	-
AT1G31620	11316941	+
AT1G31630	11319547	-
AT1G31640	11324176	-
AT1G31650	11330791	-
AT1G31660	11333540	-
AT1G31670	11337536	+
AT1G31690	11343854	+
AT1G31710	11349697	+
AT1G31720	11356076	+
AT1G31730	11359512	+
AT1G31740	11369839	-
AT1G31750	11372197	-
AT1G31760	11374301	-
AT1G31770	11377885	-
AT1G31772	11377879	+
AT1G31780	11391199	+
AT1G31790	11396018	-
AT1G31800	11396402	+
AT1G31810	11406809	-
AT1G31812	11412233	-
AT1G31814	11414502	-
AT1G31817	11416444	-
AT1G31820	11418464	-
AT1G31830	11420961	-
AT1G31835	11423684	-
AT1G31840	11423906	+
AT1G31850	11430100	+
AT1G31860	11436607	-
AT1G31870	11436719	+
AT1G31880	11445490	+
AT1G31885	11450315	+
AT1G31910	11456802	+
AT1G31920	11463857	-
AT1G31930	11464934	+
AT1G31935	11469482	+
AT1G31940	11471481	-
AT1G31950	11475623	+
AT1G31960	11479654	-
AT1G31970	11479763	+
AT1G31990	11488002	+
AT1G31993	11503576	+
AT1G32000	11508909	-
AT1G32010	11512040	-
AT1G32020	11513067	-
AT1G32030	11514594	+
AT1G32040	11518418	+
AT1G32045	11520876	-
AT1G32050	11528385	+
AT1G32060	11532199	+
AT1G32070	11536437	-
AT1G32080	11539896	-
AT1G32090	11544166	-
AT1G32100	11548016	-
AT1G32120	11552426	+
AT1G32127	11556744	+
AT1G32130	11561920	-
AT1G32140	11564833	-
AT1G32150	11565494	+
AT1G32160	11568654	+
AT1G32170	11575320	+
AT1G32172	11578506	+
AT1G32180	11590035	-
AT1G32190	11596056	-
AT1G32200	11605174	-
AT1G32210	11607866	-
AT1G32220	11607854	+
AT1G32225	11610114	+
AT1G32230	11611891	+
AT1G32240	11630745	-
AT1G32250	11639741	+
AT1G32260	11641889	-
AT1G32270	11642593	+
AT1G32280	11646189	+
AT1G32300	11651327	+
AT1G32310	11653500	+
AT1G32320	11655156	+
AT1G32330	11660471	-
AT1G32337	11661815	+
AT1G32340	11666120	-
AT1G32350	11668690	-
AT1G32360	11672766	+
AT1G32361	11675531	+
AT1G32370	11676925	+
AT1G32375	11678886	+
AT1G32380	11681734	+
AT1G32385	11685060	+
AT1G32390	11688129	+
AT1G32400	11691588	-
AT1G32410	11693799	+
AT1G32415	11695596	+
AT1G32420	11701995	+
AT1G32430	11706357	-
AT1G32440	11711944	+
AT1G32450	11719988	-
AT1G32460	11738118	+
AT1G32470	11740399	-
AT1G32480	11741083	+
AT1G32490	11749788	-
AT1G32500	11752190	-
AT1G32505	11753254	+
AT1G32510	11756691	+
AT1G32520	11759324	-
AT1G32530	11762635	-
AT1G32540	11767485	+
AT1G32550	11774117	-
AT1G32560	11774484	+
AT1G32570	11776765	+
AT1G32575	11780623	+
AT1G32580	11783543	+
AT1G32583	11785806	+
AT1G32585	11789177	-
AT1G32590	11789768	+
AT1G32600	11794802	+
AT1G32610	11797221	-
AT1G32620	11797285	-
AT1G32630	11797330	+
AT1G32640	11801407	-
AT1G32650	11810724	-
AT1G32660	11811040	+
AT1G32680	11818034	+
AT1G32690	11821824	-
AT1G32700	11827359	+
AT1G32710	11833113	+
AT1G32720	11834902	+
AT1G32730	11840910	+
AT1G32740	11844660	+
AT1G32750	11856765	-
AT1G32760	11858080	+
AT1G32763	11860923	-
AT1G32770	11867154	-
AT1G32780	11872926	-
AT1G32790	11877549	-
AT1G32810	11881311	+
AT1G32820	11888389	+
AT1G32830	11894820	-
AT1G32840	11899695	-
AT1G32850	11902629	+
AT1G32860	11909049	-
AT1G32870	11911631	+
AT1G32880	11914735	-
AT1G32890	11919845	-
AT1G32900	11923866	-
AT1G32910	11925320	+
AT1G32920	11928757	+
AT1G32928	11931149	+
AT1G32930	11934759	-
AT1G32940	11937183	+
AT1G32950	11941048	+
AT1G32960	11945250	+
AT1G32970	11951982	-
AT1G32975	11953089	+
AT1G32980	11955362	-
AT1G32990	11955656	+
AT1G33000	11957968	+
AT1G33010	11959287	+
AT1G33020	11962746	+
AT1G33030	11966320	-
AT1G33040	11966423	+
AT1G33050	11971532	-
AT1G33055	11972580	-
AT1G33060	11978622	-
AT1G33070	11982889	+
AT1G33080	11985650	+
AT1G33090	11993298	+
AT1G33100	11997500	+
AT1G33102	12003005	-
AT1G33110	12004854	+
AT1G33120	12010879	+
AT1G33130	12018654	-
AT1G33135	12018683	+
AT1G33140	12023225	+
AT1G33170	12026936	+
AT1G33180	12030585	+
AT1G33200	12041779	+
AT1G33220	12044872	+
AT1G33230	12046379	+
AT1G33240	12054753	-
AT1G33250	12059792	-
AT1G33260	12064323	+
AT1G33265	12066595	+
AT1G33270	12070455	-
AT1G33280	12072611	+
AT1G33290	12074099	+
AT1G33300	12080824	-
AT1G33320	12081009	+
AT1G33330	12084914	+
AT1G33340	12087196	+
AT1G33350	12091743	-
AT1G33355	12089635	+
AT1G33360	12091780	+
AT1G33370	12097347	-
AT1G33380	12099378	-
AT1G33390	12104680	-
AT1G33400	12109531	-
AT1G33410	12118861	-
AT1G33415	12118990	+
AT1G33420	12123576	-
AT1G33430	12126481	-
AT1G33440	12130444	-
AT1G33450	12139228	+
AT1G33460	12142760	-
AT1G33470	12144440	+
AT1G33475	12148249	-
AT1G33480	12150617	-
AT1G33490	12152460	-
AT1G33500	12152519	+
AT1G33520	12159125	-
AT1G33530	12159884	+
AT1G33540	12164714	-
AT1G33550	12166621	-
AT1G33560	12168768	+
AT1G33570	12174499	-
AT1G33580	12176059	-
AT1G33590	12177673	+
AT1G33600	12180483	+
AT1G33607	12187423	-
AT1G33610	12188678	+
AT1G33612	12191133	+
AT1G33615	12196736	-
AT1G33640	12196223	-
AT1G33670	12201963	+
AT1G33680	12203945	+
AT1G33700	12214313	-
AT1G33710	12219657	+
AT1G33720	12224108	-
AT1G33730	12226852	+
AT1G33750	12233632	+
AT1G33760	12237547	+
AT1G33770	12241614	+
AT1G33780	12246231	-
AT1G33790	12256474	+
AT1G33800	12261165	+
AT1G33810	12264942	+
AT1G33811	12267808	+
AT1G33813	12274646	-
AT1G33817	12276763	-
AT1G33820	12279451	-
AT1G33830	12281406	-
AT1G33835	12281847	+
AT1G33840	12285371	-
AT1G33850	12288210	-
AT1G33855	12291258	+
AT1G33860	12294394	+
AT1G33870	12303330	-
AT1G33880	12305203	-
AT1G33890	12309914	-
AT1G33900	12313518	-
AT1G33910	12314904	+
AT1G33920	12319905	+
AT1G33930	12323474	+
AT1G33940	12332785	-
AT1G33945	12331977	+
AT1G33950	12340409	-
AT1G33960	12346138	+
AT1G33970	12351318	-
AT1G33980	12351566	+
AT1G33990	12355557	+
AT1G34000	12358966	-
AT1G34010	12361313	-
AT1G34015	12361832	+
AT1G34020	12366810	+
AT1G34030	12371554	-
AT1G34040	12374259	+
AT1G34042	12379703	-
AT1G34046	12388595	+
AT1G34047	12390915	-
AT1G34049	12390448	+
AT1G34050	12393426	+
AT1G34060	12398418	-
AT1G34065	12401036	-
AT1G34070	12402283	+
AT1G34080	12406628	-
AT1G34090	12407268	+
AT1G34095	12412514	-
AT1G34097	12412782	+
AT1G34110	12421792	-
AT1G34120	12426700	+
AT1G34130	12429846	+
AT1G34140	12434735	-
AT1G34150	12435882	+
AT1G34160	12441244	+
AT1G34170	12446764	-
AT1G34180	12448543	+
AT1G34190	12451405	+
AT1G34200	12455653	+
AT1G34210	12458564	+
AT1G34220	12466089	-
AT1G34230	12467841	-
AT1G34240	12470418	+
AT1G34245	12472868	+
AT1G34250	12483634	-
AT1G34260	12485318	+
AT1G34270	12494584	-
AT1G34290	12498000	+
AT1G34300	12503360	+
AT1G34310	12511520	-
AT1G34315	12516521	-
AT1G34317	12516112	+
AT1G34320	12520059	+
AT1G34340	12530815	+
AT1G34350	12534426	+
AT1G34355	12536310	+
AT1G34360	12542796	+
AT1G34370	12550339	+
AT1G34380	12554363	-
AT1G34390	12556005	+
AT1G34392	12561315	-
AT1G34400	12566615	-
AT1G34403	12576173	-
AT1G34405	12572126	-
AT1G34410	12577722	+
AT1G34418	12582122	+
AT1G34420	12584345	+
AT1G34430	12590223	-
AT1G34440	12593579	-
AT1G34460	12595110	+
AT1G34470	12604161	+
AT1G34480	12607222	+
AT1G34490	12609440	+
AT1G34500	12611638	+
AT1G34510	12617032	-
AT1G34520	12623434	+
AT1G34530	12627875	+
AT1G34540	12637054	+
AT1G34545	12642418	-
AT1G34550	12652646	-
AT1G34560	12653961	+
AT1G34570	12656605	-
AT1G34575	12658756	-
AT1G34580	12660497	+
AT1G34590	12665167	+
AT1G34600	12673094	-
AT1G34610	12675584	+
AT1G34620	12684547	-
AT1G34630	12685176	+
AT1G34640	12688543	-
AT1G34650	12692995	+
AT1G34660	12699872	+
AT1G34670	12709090	+
AT1G34700	12714209	+
AT1G34710	12717730	+
AT1G34720	12719887	-
AT1G34730	12721377	-
AT1G34740	12728189	-
AT1G34750	12738196	-
AT1G34760	12745748	-
AT1G34770	12746405	+
AT1G34780	12750506	-
AT1G34790	12763902	+
AT1G34792	12766651	-
AT1G34795	12770131	-
AT1G34800	12773442	-
AT1G34805	12776856	-
AT1G34807	12777711	+
AT1G34810	12780270	-
AT1G34812	12781126	+
AT1G34815	12783684	-
AT1G34817	12784536	+
AT1G34820	12787095	-
AT1G34822	12787950	+
AT1G34825	12790605	-
AT1G34827	12791364	+
AT1G34830	12794023	-
AT1G34840	12797247	-
AT1G34842	12752376	-
AT1G34844	12751156	+
AT1G34850	12800571	-
AT1G34855	12801427	+
AT1G34860	12803986	-
AT1G34904	12753487	+
AT1G34910	12804834	+
AT1G34930	12807399	-
AT1G34967	12755620	+
AT1G35030	12808246	+
AT1G35035	12811308	-
AT1G35040	12812157	+
AT1G35050	12814081	+
AT1G35060	12820034	+
AT1G35080	12828202	-
AT1G35090	12829881	-
AT1G35100	12830552	+
AT1G35110	12840997	-
AT1G35112	12841118	-
AT1G35115	12842158	+
AT1G35120	12846425	-
AT1G35130	12847039	+
AT1G35140	12851983	+
AT1G35143	12855133	-
AT1G35146	12860244	-
AT1G35150	12866238	-
AT1G35160	12867081	+
AT1G35170	12872257	-
AT1G35180	12878835	-
AT1G35181	12879306	+
AT1G35183	12882654	+
AT1G35186	12886983	-
AT1G35190	12890404	+
AT1G35210	12897675	-
AT1G35215	12906171	-
AT1G35220	12908848	+
AT1G35230	12917070	+
AT1G35240	12930523	-
AT1G35242	12930980	+
AT1G35250	12934656	-
AT1G35255	12936586	-
AT1G35260	12937787	-
AT1G35280	12944137	+
AT1G35290	12948849	-
AT1G35300	12950376	+
AT1G35310	12957090	-
AT1G35320	12962853	-
AT1G35330	12964986	+
AT1G35340	12977668	+
AT1G35350	12984740	-
AT1G35353	12988649	+
AT1G35360	12990113	+
AT1G35365	12991392	+
AT1G35370	13000586	+
AT1G35375	13006187	-
AT1G35380	13007926	-
AT1G35390	13008911	+
AT1G35400	13018289	+
AT1G35405	13023624	-
AT1G35410	13024161	+
AT1G35420	13026206	+
AT1G35430	13031375	-
AT1G35435	13033280	-
AT1G35440	13036037	-
AT1G35460	13039660	+
AT1G35465	13046927	+
AT1G35467	13049114	+
AT1G35470	13055093	-
AT1G35480	13056364	-
AT1G35490	13061549	+
AT1G35500	13066087	+
AT1G35510	13071165	+
AT1G35515	13077890	+
AT1G35516	13078416	+
AT1G35520	13085830	-
AT1G35530	13089816	+
AT1G35535	13098266	+
AT1G35537	13105596	-
AT1G35540	13108634	+
AT1G35545	13112832	-
AT1G35550	13112506	+
AT1G35560	13117235	-
AT1G35570	13120439	-
AT1G35580	13125328	-
AT1G35590	13131935	+
AT1G35600	13136559	+
AT1G35610	13144988	-
AT1G35612	13145643	+
AT1G35614	13148592	+
AT1G35617	13153583	+
AT1G35620	13156346	+
AT1G35625	13160284	-
AT1G35630	13164512	-
AT1G35640	13174552	+
AT1G35645	13175798	+
AT1G35647	13186236	-
AT1G35650	13191749	-
AT1G35660	13192608	+
AT1G35663	13199771	-
AT1G35670	13205345	+
AT1G35680	13208683	+
AT1G35690	13214130	+
AT1G35710	13220471	+
AT1G35720	13225168	+
AT1G35730	13229931	-
AT1G35735	13235530	-
AT1G35745	13249824	-
AT1G35750	13255570	-
AT1G35760	13264307	+
AT1G35770	13275678	-
AT1G35780	13280387	-
AT1G35790	13300109	-
AT1G35820	13309257	-
AT1G35830	13322511	-
AT1G35840	13324970	+
AT1G35850	13330510	+
AT1G35860	13334050	-
AT1G35870	13335257	+
AT1G35880	13341228	-
AT1G35890	13341300	+
AT1G35895	13354225	-
AT1G35910	13365172	-
AT1G35920	13372521	+
AT1G35930	13375848	+
AT1G35940	13377800	+
AT1G35950	13384661	+
AT1G35960	13396127	-
AT1G35970	13397664	+
AT1G35990	13415069	-
AT1G35995	13421119	-
AT1G36000	13422554	+
AT1G36005	13432418	+
AT1G36010	13426455	+
AT1G36020	13434340	-
AT1G36030	13436586	+
AT1G36035	13440076	+
AT1G36040	13446062	+
AT1G36050	13450089	+
AT1G36060	13456336	-
AT1G36070	13470936	-
AT1G36078	13482785	-
AT1G36080	13483143	+
AT1G36085	13486920	-
AT1G36090	13489700	-
AT1G36095	13492725	-
AT1G36100	13494652	+
AT1G36105	13499042	+
AT1G36110	13506396	-
AT1G36120	13514564	-
AT1G36130	13520545	-
AT1G36140	13527049	-
AT1G36150	13528257	+
AT1G36160	13533168	+
AT1G36180	13545965	+
AT1G36185	13560124	+
AT1G36190	13576085	-
AT1G36200	13580996	-
AT1G36210	13594514	+
AT1G36225	13606640	+
AT1G36230	13614051	-
AT1G36240	13614890	+
AT1G36250	13617739	+
AT1G36260	13628052	-
AT1G36270	13633367	-
AT1G36272	13635521	-
AT1G36280	13640508	+
AT1G36290	13644547	-
AT1G36300	13652173	-
AT1G36305	13660680	+
AT1G36310	13669425	+
AT1G36320	13671774	+
AT1G36325	13683045	-
AT1G36330	13680593	-
AT1G36340	13685066	-
AT1G36350	13686426	+
AT1G36360	13689534	+
AT1G36370	13698739	-
AT1G36380	13700765	+
AT1G36390	13703573	-
AT1G36395	13707880	+
AT1G36400	13711163	+
AT1G36403	13713789	-
AT1G36406	13715997	-
AT1G36420	13720795	+
AT1G36430	13722744	+
AT1G36440	13725802	+
AT1G36445	13730184	+
AT1G36450	13732952	+
AT1G36460	13737957	-
AT1G36470	13742675	-
AT1G36480	13743574	+
AT1G36485	13746698	+
AT1G36490	13751349	+
AT1G36495	13754937	+
AT1G36500	13757370	+
AT1G36510	13761926	+
AT1G36520	13768837	+
AT1G36530	13784776	-
AT1G36540	13788723	+
AT1G36550	13795531	+
AT1G36560	13801807	-
AT1G36570	13803929	+
AT1G36580	13818556	-
AT1G36590	13818976	+
AT1G36600	13827399	-
AT1G36605	13828477	-
AT1G36610	13828493	+
AT1G36620	13835564	-
AT1G36622	13836954	-
AT1G36623	13835832	+
AT1G36627	13849091	-
AT1G36630	13847625	-
AT1G36640	13853687	-
AT1G36650	13855674	-
AT1G36670	13865336	-
AT1G36675	13867568	+
AT1G36680	13871080	+
AT1G36690	13875764	-
AT1G36720	13884483	+
AT1G36730	13900831	-
AT1G36740	13910793	-
AT1G36745	13911137	+
AT1G36750	13913605	+
AT1G36756	13917331	+
AT1G36763	13921504	-
AT1G36770	13921668	+
AT1G36775	13930101	+
AT1G36790	13936159	+
AT1G36795	13945667	-
AT1G36800	13950729	-
AT1G36810	13950803	+
AT1G36830	13955600	-
AT1G36840	13955622	+
AT1G36850	13961285	-
AT1G36890	13971416	-
AT1G36910	13975976	-
AT1G36915	13979110	-
AT1G36920	13982995	+
AT1G36922	13984576	+
AT1G36925	13986436	+
AT1G36927	13993095	-
AT1G36933	13994997	-
AT1G36936	13997730	-
AT1G36940	14003819	+
AT1G36942	14006341	-
AT1G36950	14010822	-
AT1G36960	14014796	+
AT1G36970	14018356	-
AT1G36975	14019941	+
AT1G36980	14024634	+
AT1G36990	14030500	-
AT1G36992	14029923	+
AT1G37000	14036038	+
AT1G37010	14040918	+
AT1G37012	14043727	-
AT1G37015	14044015	+
AT1G37020	14046735	+
AT1G37030	14050455	+
AT1G37035	14058908	-
AT1G37036	14061004	-
AT1G37037	14067409	-
AT1G37038	14069502	+
AT1G37040	14071388	+
AT1G37045	14079707	-
AT1G37050	14079841	+
AT1G37057	14094306	+
AT1G37060	14084522	+
AT1G37063	14102348	-
AT1G37070	14105790	-
AT1G37080	14112255	-
AT1G37090	14116885	-
AT1G37095	14120423	+
AT1G37100	14128188	-
AT1G37110	14134322	-
AT1G37113	14136413	+
AT1G37120	14146001	-
AT1G37130	14158452	+
AT1G37140	14172106	-
AT1G37150	14178034	-
AT1G37160	14183264	-
AT1G37170	14188824	+
AT1G37180	14194819	-
AT1G37190	14197638	+
AT1G37200	14206371	-
AT1G37210	14208782	+
AT1G37275	14213199	+
AT1G37340	14223712	-
AT1G37405	14226804	+
AT1G37471	14234557	+
AT1G37537	14241087	+
AT1G37603	14243165	+
AT1G37669	14248948	+
AT1G37735	14260655	-
AT1G37801	14262831	+
AT1G37867	14272193	-
AT1G37933	14276511	-
AT1G37999	14282034	-
AT1G38065	14292098	-
AT1G38131	14296253	-
AT1G38140	14300842	+
AT1G38149	14313049	+
AT1G38158	14316988	+
AT1G38167	14320220	+
AT1G38176	14324216	+
AT1G38185	14334140	+
AT1G38194	14339343	+
AT1G38203	14343493	+
AT1G38212	14344571	+
AT1G38221	14350650	+
AT1G38230	14361028	-
AT1G38240	14368341	+
AT1G38250	14370226	+
AT1G38260	14379741	-
AT1G38270	14386830	+
AT1G38280	14390723	+
AT1G38290	14396303	+
AT1G38300	14406576	-
AT1G38310	14413975	+
AT1G38320	14415952	+
AT1G38330	14425394	-
AT1G38340	14430747	+
AT1G38350	14434173	+
AT1G38360	14437603	+
AT1G38380	14446400	+
AT1G38390	14449811	+
AT1G38400	14453712	+
AT1G38410	14457606	+
AT1G38416	14462414	+
AT1G38423	14471421	-
AT1G38430	14482448	-
AT1G38440	14487343	+
AT1G38450	14492062	+
AT1G38460	14501393	+
AT1G38550	14506540	+
AT1G38710	14542790	-
AT1G38790	14544528	-
AT1G38870	14584396	-
AT1G39030	14590038	-
AT1G39060	14701718	+
AT1G39070	14733525	+
AT1G39110	14593550	-
AT1G39190	14598190	-
AT1G39270	14604275	-
AT1G39350	14608653	-
AT1G39430	14657326	-
AT1G39510	14664117	-
AT1G39511	14667705	-
AT1G39513	14715462	+
AT1G39515	14749046	-
AT1G39590	14807800	+
AT1G39670	14817510	+
AT1G39750	14825643	-
AT1G39830	14846755	-
AT1G39910	14849635	+
AT1G39990	14853296	+
AT1G40070	14859910	-
AT1G40071	14864166	+
AT1G40072	14869477	-
AT1G40073	14873234	-
AT1G40074	14876079	+
AT1G40075	14896886	-
AT1G40076	15422187	+
AT1G40077	14906596	-
AT1G40080	14917632	-
AT1G40081	14918653	+
AT1G40083	14923055	-
AT1G40084	14924035	+
AT1G40085	14925852	+
AT1G40086	14930278	+
AT1G40087	15001868	-
AT1G40090	15013792	+
AT1G40091	15008662	-
AT1G40093	15041098	-
AT1G40095	15050812	-
AT1G40097	15053799	+
AT1G40099	15057069	+
AT1G40100	15410101	+
AT1G40101	15076496	-
AT1G40103	15081356	-
AT1G40104	15081952	+
AT1G40105	15139933	+
AT1G40106	15404846	-
AT1G40107	15151216	+
AT1G40109	15155045	+
AT1G40112	15398667	+
AT1G40113	15160610	+
AT1G40115	15179141	+
AT1G40117	15180908	+
AT1G40118	15392514	+
AT1G40119	15187719	+
AT1G40121	15190972	+
AT1G40123	15209959	+
AT1G40124	15390384	+
AT1G40125	15214280	+
AT1G40127	15221264	-
AT1G40129	15240553	+
AT1G40130	15387010	-
AT1G40131	15281236	+
AT1G40133	15288755	-
AT1G40135	15292281	+
AT1G40136	15378555	+
AT1G40137	15300585	+
AT1G40139	15306764	-
AT1G40141	15312019	+
AT1G40143	15316914	-
AT1G40150	15412720	+
AT1G40230	15414895	+
AT1G40310	15415948	+
AT1G40390	15434674	-
AT1G40470	15438170	+
AT1G40630	15452414	-
AT1G41115	15457545	+
AT1G41600	15464485	+
AT1G41630	15471424	+
AT1G41650	15476465	+
AT1G41660	15478365	+
AT1G41680	15482852	+
AT1G41690	15485350	+
AT1G41700	15491832	-
AT1G41710	15493688	+
AT1G41720	15500528	+
AT1G41723	15491953	+
AT1G41726	15503360	+
AT1G41730	15507474	-
AT1G41740	15512095	-
AT1G41743	15517653	-
AT1G41746	15521174	-
AT1G41750	15522436	-
AT1G41755	15526431	+
AT1G41760	15530963	-
AT1G41770	15537221	+
AT1G41775	15544377	-
AT1G41790	15547317	+
AT1G41795	15557528	-
AT1G41797	15563509	-
AT1G41798	15567812	-
AT1G41803	15570514	+
AT1G41810	15580557	-
AT1G41820	15585143	-
AT1G41825	15590929	+
AT1G41827	15596075	+
AT1G41830	15607966	-
AT1G41835	15615111	-
AT1G41840	15622910	-
AT1G41850	15626402	+
AT1G41855	15637605	+
AT1G41860	15640156	+
AT1G41870	15647491	+
AT1G41880	15652542	-
AT1G41893	15657492	+
AT1G41896	15665040	+
AT1G41900	15673358	-
AT1G41910	15677553	+
AT1G41920	15684487	-
AT1G41930	15685411	+
AT1G42003	15703863	-
AT1G42040	15705651	-
AT1G42045	15698374	+
AT1G42050	15710285	-
AT1G42060	15713211	-
AT1G42070	15715882	-
AT1G42080	15717169	-
AT1G42100	15721695	+
AT1G42110	15725298	+
AT1G42120	15730686	-
AT1G42130	15733169	+
AT1G42140	15741101	-
AT1G42150	15742399	+
AT1G42160	15751580	+
AT1G42170	15755674	+
AT1G42180	15759280	-
AT1G42190	15761082	+
AT1G42200	15763310	-
AT1G42210	15766943	-
AT1G42220	15769506	-
AT1G42230	15770771	+
AT1G42240	15773499	+
AT1G42250	15776845	+
